Time,Registered Users,Registered Drivers
"Sep 01, 2022","6","0"
"Sep 02, 2022","2","3"
"Sep 03, 2022","2","1"
"Sep 04, 2022","1","1"
"Sep 05, 2022","0","5"
"Sep 06, 2022","2","5"
"Sep 07, 2022","0","31"
"Sep 08, 2022","1","22"
"Sep 09, 2022","0","5"
"Sep 10, 2022","0","1"
"Sep 11, 2022","0","4"
"Sep 12, 2022","0","2"
"Sep 13, 2022","2","1"
"Sep 14, 2022","0","1"
"Sep 15, 2022","0","3"
"Sep 16, 2022","2","12"
"Sep 17, 2022","1","4"
"Sep 18, 2022","1","1"
"Sep 19, 2022","0","5"
"Sep 20, 2022","1","6"
"Sep 21, 2022","2","7"
"Sep 22, 2022","1","2"
"Sep 23, 2022","2","54"
"Sep 24, 2022","1","3"
"Sep 25, 2022","0","0"
"Sep 26, 2022","0","6"
"Sep 27, 2022","0","0"
"Sep 28, 2022","3","2"
"Sep 29, 2022","3","1"
"Sep 30, 2022","1","0"
"Oct 01, 2022","1","0"
"Oct 02, 2022","0","0"
"Oct 03, 2022","2","2"
"Oct 04, 2022","0","0"
"Oct 05, 2022","0","1"
"Oct 06, 2022","1","3"
"Oct 07, 2022","5","53"
"Oct 08, 2022","0","332"
"Oct 09, 2022","0","633"
"Oct 10, 2022","1,351","1,024"
"Oct 11, 2022","1,298","805"
"Oct 12, 2022","1,815","1,111"
"Oct 13, 2022","2,515","1,662"
"Oct 14, 2022","1,677","951"
"Oct 15, 2022","1,456","636"
"Oct 16, 2022","820","265"
"Oct 17, 2022","946","266"
"Oct 18, 2022","1,162","256"
"Oct 19, 2022","774","238"
"Oct 20, 2022","3,509","249"
"Oct 21, 2022","2,555","229"
"Oct 22, 2022","1,781","209"
"Oct 23, 2022","813","198"
"Oct 24, 2022","873","210"
"Oct 25, 2022","1,069","165"
"Oct 26, 2022","692","148"
"Oct 27, 2022","547","149"
"Oct 28, 2022","2,855","170"
"Oct 29, 2022","6,968","201"
"Oct 30, 2022","8,408","218"
"Oct 31, 2022","6,413","423"
"Nov 01, 2022","11,293","735"
"Nov 02, 2022","8,581","601"
"Nov 03, 2022","5,160","574"
"Nov 04, 2022","3,596","592"
"Nov 05, 2022","4,869","425"
"Nov 06, 2022","6,461","354"
"Nov 07, 2022","6,383","378"
"Nov 08, 2022","3,151","360"
"Nov 09, 2022","3,175","270"
"Nov 10, 2022","2,782","281"
"Nov 11, 2022","3,916","227"
"Nov 12, 2022","4,076","185"
"Nov 13, 2022","2,516","151"
"Nov 14, 2022","2,182","145"
"Nov 15, 2022","1,895","156"
"Nov 16, 2022","1,926","182"
"Nov 17, 2022","2,207","147"
"Nov 18, 2022","2,313","157"
"Nov 19, 2022","3,120","121"
"Nov 20, 2022","2,238","100"
"Nov 21, 2022","1,333","119"
"Nov 22, 2022","1,208","171"
"Nov 23, 2022","1,362","141"
"Nov 24, 2022","1,834","155"
"Nov 25, 2022","1,365","114"
"Nov 26, 2022","1,549","123"
"Nov 27, 2022","1,350","81"
"Nov 28, 2022","1,045","84"
"Nov 29, 2022","886","120"
"Nov 30, 2022","842","106"
"Dec 01, 2022","894","157"
"Dec 02, 2022","1,019","121"
"Dec 03, 2022","1,195","134"
"Dec 04, 2022","925","74"
"Dec 05, 2022","763","121"
"Dec 06, 2022","745","164"
"Dec 07, 2022","638","123"
"Dec 08, 2022","638","125"
"Dec 09, 2022","735","97"
"Dec 10, 2022","1,840","71"
"Dec 11, 2022","1,074","57"
"Dec 12, 2022","1,077","75"
"Dec 13, 2022","979","94"
"Dec 14, 2022","698","105"
"Dec 15, 2022","670","122"
"Dec 16, 2022","777","133"
"Dec 17, 2022","1,177","112"
"Dec 18, 2022","1,012","88"
"Dec 19, 2022","793","110"
"Dec 20, 2022","926","119"
"Dec 21, 2022","761","136"
"Dec 22, 2022","749","110"
"Dec 23, 2022","1,534","184"
"Dec 24, 2022","1,301","118"
"Dec 25, 2022","1,264","101"
"Dec 26, 2022","1,018","141"
"Dec 27, 2022","962","202"
"Dec 28, 2022","1,061","244"
"Dec 29, 2022","968","110"
"Dec 30, 2022","1,076","199"
"Dec 31, 2022","1,306","162"
"Jan 01, 2023","1,206","58"
"Jan 02, 2023","1,134","161"
"Jan 03, 2023","1,191","238"
"Jan 04, 2023","1,715","237"
"Jan 05, 2023","1,343","270"
"Jan 06, 2023","1,230","281"
"Jan 07, 2023","1,547","188"
"Jan 08, 2023","1,474","131"
"Jan 09, 2023","1,265","173"
"Jan 10, 2023","1,435","226"
"Jan 11, 2023","1,454","199"
"Jan 12, 2023","1,299","210"
"Jan 13, 2023","1,243","162"
"Jan 14, 2023","1,232","150"
"Jan 15, 2023","1,055","58"
"Jan 16, 2023","1,209","127"
"Jan 17, 2023","1,326","154"
"Jan 18, 2023","1,706","172"
"Jan 19, 2023","1,277","176"
"Jan 20, 2023","1,350","259"
"Jan 21, 2023","1,446","200"
"Jan 22, 2023","1,262","53"
"Jan 23, 2023","1,428","230"
"Jan 24, 2023","3,110","267"
"Jan 25, 2023","3,899","208"
"Jan 26, 2023","3,648","200"
"Jan 27, 2023","2,807","310"
"Jan 28, 2023","2,307","255"
"Jan 29, 2023","1,929","54"
"Jan 30, 2023","1,780","174"
"Jan 31, 2023","1,821","235"
"Feb 01, 2023","1,991","217"
"Feb 02, 2023","2,143","222"
"Feb 03, 2023","2,206","202"
"Feb 04, 2023","3,014","192"
"Feb 05, 2023","2,675","52"
"Feb 06, 2023","2,577","162"
"Feb 07, 2023","2,968","182"
"Feb 08, 2023","3,268","212"
"Feb 09, 2023","3,070","310"
"Feb 10, 2023","2,969","283"
"Feb 11, 2023","3,144","239"
"Feb 12, 2023","3,499","108"
"Feb 13, 2023","2,827","165"
"Feb 14, 2023","2,805","141"
"Feb 15, 2023","2,501","201"
"Feb 16, 2023","2,418","180"
"Feb 17, 2023","2,674","199"
"Feb 18, 2023","3,130","163"
"Feb 19, 2023","3,389","93"
"Feb 20, 2023","3,436","296"
"Feb 21, 2023","3,258","354"
"Feb 22, 2023","3,281","556"
"Feb 23, 2023","3,345","557"
"Feb 24, 2023","3,638","275"
"Feb 25, 2023","3,979","171"
"Feb 26, 2023","3,672","89"
"Feb 27, 2023","3,790","185"
"Feb 28, 2023","3,972","177"
"Mar 01, 2023","4,161","177"
"Mar 02, 2023","4,071","207"
"Mar 03, 2023","4,186","230"
"Mar 04, 2023","4,898","88"
"Mar 05, 2023","4,162","65"
"Mar 06, 2023","4,178","188"
"Mar 07, 2023","9,911","272"
"Mar 08, 2023","7,967","258"
"Mar 09, 2023","8,099","293"
"Mar 10, 2023","6,545","260"
"Mar 11, 2023","8,843","321"
"Mar 12, 2023","7,391","141"
"Mar 13, 2023","8,093","282"
"Mar 14, 2023","7,269","318"
"Mar 15, 2023","6,816","339"
"Mar 16, 2023","6,601","337"
"Mar 17, 2023","7,911","369"
"Mar 18, 2023","8,466","342"
"Mar 19, 2023","7,052","204"
"Mar 20, 2023","9,011","209"
"Mar 21, 2023","7,520","210"
"Mar 22, 2023","6,242","136"
"Mar 23, 2023","8,035","158"
"Mar 24, 2023","7,807","260"
"Mar 25, 2023","7,713","240"
"Mar 26, 2023","6,661","163"
"Mar 27, 2023","7,132","264"
"Mar 28, 2023","6,580","303"
"Mar 29, 2023","6,682","308"
"Mar 30, 2023","6,054","263"
"Mar 31, 2023","7,100","304"
"Apr 01, 2023","7,660","268"
"Apr 02, 2023","7,869","211"
"Apr 03, 2023","7,391","320"
"Apr 04, 2023","7,485","293"
"Apr 05, 2023","8,055","255"
"Apr 06, 2023","7,128","286"
"Apr 07, 2023","5,978","307"
"Apr 08, 2023","7,986","271"
"Apr 09, 2023","6,456","134"
"Apr 10, 2023","8,604","227"
"Apr 11, 2023","6,516","247"
"Apr 12, 2023","6,611","195"
"Apr 13, 2023","5,853","212"
"Apr 14, 2023","5,338","298"
"Apr 15, 2023","6,965","197"
"Apr 16, 2023","6,153","113"
"Apr 17, 2023","6,424","165"
"Apr 18, 2023","5,997","177"
"Apr 19, 2023","5,666","207"
"Apr 20, 2023","5,545","229"
"Apr 21, 2023","5,841","201"
"Apr 22, 2023","7,105","147"
"Apr 23, 2023","7,355","83"
"Apr 24, 2023","6,146","203"
"Apr 25, 2023","5,250","235"
"Apr 26, 2023","5,730","252"
"Apr 27, 2023","5,276","289"
"Apr 28, 2023","5,158","248"
"Apr 29, 2023","7,341","210"
"Apr 30, 2023","6,465","92"
"May 01, 2023","7,328","453"
"May 02, 2023","7,093","259"
"May 03, 2023","7,383","318"
"May 04, 2023","8,070","306"
"May 05, 2023","6,795","318"
"May 06, 2023","7,907","259"
"May 07, 2023","8,020","97"
"May 08, 2023","8,793","281"
"May 09, 2023","8,660","285"
"May 10, 2023","8,129","102"
"May 11, 2023","9,596","183"
"May 12, 2023","9,280","291"
"May 13, 2023","9,196","203"
"May 14, 2023","9,226","78"
"May 15, 2023","8,996","293"
"May 16, 2023","8,606","325"
"May 17, 2023","8,333","638"
"May 18, 2023","7,739","427"
"May 19, 2023","8,565","824"
"May 20, 2023","12,301","255"
"May 21, 2023","14,004","98"
"May 22, 2023","11,190","280"
"May 23, 2023","8,196","289"
"May 24, 2023","9,187","315"
"May 25, 2023","7,960","313"
"May 26, 2023","7,616","366"
"May 27, 2023","9,422","334"
"May 28, 2023","7,937","145"
"May 29, 2023","7,938","333"
"May 30, 2023","11,766","350"
"May 31, 2023","8,891","320"
"Jun 01, 2023","7,786","308"
"Jun 02, 2023","6,762","327"
"Jun 03, 2023","9,486","332"
"Jun 04, 2023","8,035","159"
"Jun 05, 2023","8,656","410"
"Jun 06, 2023","8,852","403"
"Jun 07, 2023","8,959","418"
"Jun 08, 2023","8,599","375"
"Jun 09, 2023","8,051","548"
"Jun 10, 2023","8,536","456"
"Jun 11, 2023","8,635","178"
"Jun 12, 2023","10,377","383"
"Jun 13, 2023","8,937","420"
"Jun 14, 2023","8,344","407"
"Jun 15, 2023","7,615","498"
"Jun 16, 2023","7,585","582"
"Jun 17, 2023","8,610","499"
"Jun 18, 2023","7,073","181"
"Jun 19, 2023","7,719","617"
"Jun 20, 2023","13,535","431"
"Jun 21, 2023","9,747","464"
"Jun 22, 2023","9,412","481"
"Jun 23, 2023","8,004","443"
"Jun 24, 2023","9,062","450"
"Jun 25, 2023","9,204","168"
