Ward,Searches,Searches which got estimate,Searches for Quotes,Searches which got Quotes,Bookings,Completed Trips,Search-to-estimate Rate,Estimate-to-search for quotes Rate,Quote Acceptance Rate,Quote-to-booking Rate,Cancelled Bookings,Booking Cancellation Rate,Conversion Rate,Drivers' Earnings,Average Distance per Trip (km),Average Fare per Trip,Distance Travelled (km)
Other Wards,"18,99,173","16,33,267","11,12,567","5,66,885","5,51,607","3,37,018",86.00%,68.10%,50.90%,97.30%,"2,14,504",38.90%,17.80%,"₹6,97,46,770",11.3,₹191.87,"42,05,611"
Shantala Nagar,"15,57,561","15,41,007","13,34,706","5,31,264","5,19,545","2,86,432",98.90%,86.60%,39.80%,97.80%,"2,32,893",44.80%,18.40%,"₹4,40,51,371",8.3,₹155.65,"24,20,671"
Agara,"8,45,015","8,33,797","7,16,059","3,35,225","3,25,609","2,13,701",98.70%,85.90%,46.80%,97.10%,"1,11,839",34.40%,25.30%,"₹3,06,63,320",8.1,₹148.12,"17,12,165"
Koramangala,"8,01,022","7,89,871","6,77,374","3,41,156","3,30,424","2,13,378",98.60%,85.80%,50.40%,96.90%,"1,16,952",35.40%,26.60%,"₹2,87,50,146",7.3,₹136.12,"15,86,854"
Doddakanahalli,"11,61,827","11,46,281","9,73,960","3,68,738","3,61,350","2,13,091",98.70%,85.00%,37.90%,98.00%,"1,48,154",41.00%,18.30%,"₹3,64,56,999",9.5,₹170.58,"20,78,817"
Adugodi,"7,90,523","7,81,462","6,63,257","3,39,478","3,28,996","1,96,448",98.90%,84.90%,51.20%,96.90%,"1,32,273",40.20%,24.90%,"₹2,78,55,969",7.9,₹148.03,"14,94,421"
Suddagunte Palya,"8,81,664","8,69,968","7,50,118","3,47,683","3,38,152","1,85,654",98.70%,86.20%,46.40%,97.30%,"1,52,406",45.10%,21.10%,"₹2,49,97,105",7.4,₹136.11,"13,91,959"
Bellanduru,"9,38,139","9,27,170","8,04,810","2,80,980","2,75,137","1,57,418",98.80%,86.80%,34.90%,97.90%,"1,17,671",42.80%,16.80%,"₹2,77,55,435",10.1,₹179.87,"15,94,285"
Vasanth Nagar,"6,01,091","5,94,507","4,94,123","2,56,209","2,50,375","1,56,667",98.90%,83.10%,51.80%,97.70%,"93,652",37.40%,26.10%,"₹2,18,67,599",7.7,₹138.21,"12,52,510"
Hoysala Nagar,"4,57,219","4,52,195","3,80,891","2,04,133","1,99,883","1,31,211",98.90%,84.20%,53.60%,97.90%,"68,619",34.30%,28.70%,"₹1,75,37,958",7,₹132.10,"9,57,525"
Byrasandra,"3,97,894","3,92,604","3,18,764","1,92,320","1,87,931","1,26,137",98.70%,81.20%,60.30%,97.70%,"61,761",32.90%,31.70%,"₹1,52,46,537",6.4,₹117.63,"8,55,189"
Old Thippasandra,"4,20,429","4,15,485","3,58,431","1,97,720","1,93,526","1,25,512",98.80%,86.30%,55.20%,97.90%,"67,940",35.10%,29.80%,"₹1,75,85,804",7.5,₹140.61,"9,57,207"
Marathahalli,"7,61,424","7,53,035","6,33,183","2,32,101","2,27,340","1,23,219",98.90%,84.10%,36.70%,97.90%,"1,04,060",45.80%,16.20%,"₹2,21,29,599",10.4,₹189.35,"12,53,966"
Domlur,"4,65,712","4,60,645","3,98,002","1,95,811","1,91,792","1,23,183",98.90%,86.40%,49.20%,97.90%,"68,527",35.70%,26.50%,"₹1,75,08,484",7.8,₹148.81,"9,50,317"
Madivala,"5,18,719","5,10,412","4,26,243","2,08,931","2,03,228","1,17,969",98.40%,83.50%,49.00%,97.30%,"85,225",41.90%,22.70%,"₹1,49,16,788",7.2,₹134.63,"8,21,388"
Sampangiram Nagar,"5,55,631","5,48,830","4,60,643","2,12,784","2,08,578","1,10,048",98.80%,83.90%,46.20%,98.00%,"98,483",47.20%,19.80%,"₹1,66,49,102",8.6,₹152.35,"9,56,363"
Vinayakanagar,"3,77,049","3,72,118","3,06,772","1,78,712","1,74,421","1,08,960",98.70%,82.40%,58.30%,97.60%,"65,406",37.50%,28.90%,"₹1,48,00,539",7.5,₹135.06,"8,30,757"
J P Nagar,"3,49,209","3,44,876","2,80,504","1,73,118","1,68,798","1,08,585",98.80%,81.30%,61.70%,97.50%,"60,152",35.60%,31.10%,"₹1,36,61,436",7.3,₹132.51,"7,61,077"
HRBR Layout,"2,94,526","2,92,014","2,34,110","1,61,504","1,58,689","1,08,389",99.20%,80.20%,69.00%,98.30%,"50,267",31.70%,36.80%,"₹1,42,55,144",7.2,₹130.76,"7,98,450"
